MeasureID,PlotID,Plot,Family,GenusSpecies,Genus,SpeciesName,SubSpeciesName,SpeciesID,Mnemonic,QuadratID,QuadratName,x,y,gx,gy,TreeID,Tag,StemID,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,ListOfTSM,Status
80761,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,32.4,18.4,996.2,489.2,113305,129272,11,NULL,main,6,6,37,1.3,2005-10-11,R,alive
80762,1,bci,Malvaceae,Quararibea asterolepis,Quararibea,asterolepis,NULL,871,quaras,1250,4924,32.8,13.8,996.4,486.9,113307,129274,1,NA,main,6,6,55,1.3,2005-10-11,NULL,alive
80763,1,bci,Myristicaceae,Virola sebifera,Virola,sebifera,NULL,1072,virose,1250,4924,32.4,10.2,996.2,485.1,113308,129275,1,NA,main,6,6,34,1.3,2005-10-11,NULL,alive
80764,1,bci,Clusiaceae,Chrysochlamys eclipes,Chrysochlamys,eclipes,NULL,198,chr1ec,1250,4924,38.2,11.4,999.1,485.7,113312,129279,2,NA,main,6,6,NA,NA,2005-10-11,"D,N",dead
80765,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,38.4,10.2,999.2,485.1,113313,129280,1,NA,main,6,6,18,1.3,2005-10-11,NULL,alive
80766,1,bci,Moraceae,Sorocea affinis,Sorocea,affinis,NULL,958,soroaf,1250,4924,38.2,2,999.1,481,113319,129286,1,NA,main,6,6,47,1.3,2005-10-11,NULL,alive
80767,1,bci,Elaeocarpaceae,Sloanea terniflora,Sloanea,terniflora,NULL,1162,sloate,1250,4924,37.8,2.2,998.9,481.1,113320,129287,1,NA,main,6,6,170,1.3,2005-10-11,Q,alive
192736,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,4.6,5.4,982.3,482.7,268468,314569,1,NA,main,6,6,29,1.3,2005-10-11,NULL,alive
192737,1,bci,Rutaceae,Zanthoxylum acuminatum,Zanthoxylum,acuminatum,NULL,1099,zantpr,1250,4924,4.2,7.2,982.1,483.6,268469,314570,1,NA,main,6,6,26,1.3,2005-10-11,NULL,alive
192738,1,bci,Rubiaceae,Pentagonia macrophylla,Pentagonia,macrophylla,NULL,750,pentma,1250,4924,5,16.8,982.5,488.4,268470,314571,1,NA,main,6,6,NA,NA,2005-10-11,"D,N",dead
192739,1,bci,Chrysobalanaceae,Hirtella triandra,Hirtella,triandra,NULL,487,hirttr,1250,4924,7.8,27.4,983.9,493.7,268473,314574,1,NA,main,6,6,14,1.3,2005-10-11,NULL,alive
192740,1,bci,Piperaceae,Piper aequale,Piper,aequale,NULL,765,pipeae,1250,4924,3.2,22.8,981.6,491.4,268477,314578,14,NULL,main,6,6,31,1.3,2005-10-11,"L,M",alive
192741,1,bci,Piperaceae,Piper aequale,Piper,aequale,NULL,765,pipeae,1250,4924,3.2,22.8,981.6,491.4,268477,314578,15,NULL,secondary,6,6,23,1.3,2005-10-11,NULL,alive
192742,1,bci,Burseraceae,Tetragastris panamensis,Tetragastris,panamensis,NULL,1007,tet2pa,1250,4924,6.4,23.4,983.2,491.7,268478,314579,1,NA,main,6,6,25,1.3,2005-10-11,NULL,alive
192743,1,bci,Rubiaceae,Faramea occidentalis,Faramea,occidentalis,NULL,379,faraoc,1250,4924,9.8,26.6,984.9,493.3,268479,314580,4,NULL,main,6,6,34,1.3,2005-10-11,NULL,alive
192744,1,bci,Fabaceae-papilionoideae,Dipteryx oleifera,Dipteryx,oleifera,NULL,1123,diptpa,1250,4924,5.4,37,982.7,498.5,268485,314586,1,NA,main,6,6,12,1.3,2005-10-11,NULL,alive
192745,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,14,30.2,987,495.1,268486,314587,1,NA,main,6,6,15,1.3,2005-10-11,NULL,alive
192746,1,bci,Rubiaceae,Psychotria horizontalis,Psychotria,horizontalis,NULL,850,psycho,1250,4924,13.4,26.4,986.7,493.2,268487,314588,4,NULL,main,6,6,14,1.3,2005-10-11,NULL,alive
192747,1,bci,Boraginaceae,Cordia alliodora,Cordia,alliodora,NULL,262,cordal,1250,4924,10.8,18.6,985.4,489.3,268491,314592,1,NA,main,6,6,33,1.3,2005-10-11,NULL,alive
192748,1,bci,Clusiaceae,Marila laxiflora,Marila,laxiflora,NULL,610,mar1la,1250,4924,3.8,22.4,981.9,491.2,268493,314594,2,NA,main,6,6,14,1.3,2005-10-11,NULL,alive
192749,1,bci,Lacistemataceae,Lacistema aggregatum,Lacistema,aggregatum,NULL,548,laciag,1250,4924,23.2,4.2,991.6,482.1,268494,314595,1,NA,main,6,6,20,1.3,2005-10-11,NULL,alive
192750,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,26,9.8,993,484.9,268495,314596,2,NULL,main,6,6,16,1.3,2005-10-11,M,alive
192751,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,26,9.8,993,484.9,268495,314596,3,NULL,secondary,6,6,15,1.3,2005-10-11,NULL,alive
192752,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,27.6,16.4,993.8,488.2,268496,314597,2,NA,main,6,6,NA,NA,2005-10-11,R,alive
192753,1,bci,Violaceae,Hybanthus prunifolius,Hybanthus,prunifolius,NULL,494,hybapr,1250,4924,29.6,14,994.8,487,268497,314598,1,NA,main,6,6,11,1.3,2005-10-11,NULL,alive
192754,1,bci,Meliaceae,Trichilia tuberculata,Trichilia,tuberculata,NULL,1169,tri2tu,1250,4924,30.6,34,995.3,497,268499,314600,1,NA,main,6,6,17,1.3,2005-10-11,NULL,alive
192755,1,bci,Chrysobalanaceae,Licania platypus,Licania,platypus,NULL,572,licapl,1250,4924,30.8,34.6,995.4,497.3,268500,314601,1,NA,main,6,6,13,1.3,2005-10-11,NULL,alive
